  D6    2.001   BH2015      0      0      0   505692.88   501603.81   500067.09             Sat Jun 24 17:05:11 2017
  D7    2.007   BH2015      0      0      0   509024.34   503618.75   501022.94             Sat Jun 24 17:06:46 2017
  D9    2.001   BH2015      0      0      0   502075.94   499055.84   498181.47             Sat Jun 24 17:10:06 2017
 D12    2.007   BH2015      0      0      0   502443.25   494330.09   499643.12             Sat Jun 24 17:11:16 2017
 D16    2.007   BH2015      0      0      0   492586.25   506036.22   480933.25             Sat Jun 24 17:13:58 2017
 D22    2.007   BH2015      0      0      0   498271.88   502832.22   506261.12             Sat Jun 24 17:15:56 2017
 D24    2.007   BH2015      0      0      0   494003.88   498189.97   492440.47             Sat Jun 24 17:17:55 2017
 D29    2.007   BH2015      0      0      0   492040.97   513237.72   497995.62             Sat Jun 24 17:19:50 2017
  D3    2.007  CSF2015      0      0      0   500770.47   494695.97   495868.22             Sat Jun 24 17:29:47 2017
  D3    2.007  CSF2015      0      0      0   500770.47   494695.97   495868.22             Sat Jun 24 17:31:58 2017
  D3    2.007  CSF2015      0      0      0   500770.47   494695.97   495868.22             Sat Jun 24 17:34:18 2017
  D4    2.001  CSF2015     23      1     19   491101.56   495361.31   501609.31             Sat Jun 24 17:36:18 2017
  D5    2.001  CSF2015      0      0      0   504971.88   501369.06   497028.59             Sat Jun 24 17:39:33 2017
  D6    2.001  CSF2015      0      0      0   505679.56   501600.56   500071.72             Sat Jun 24 17:41:22 2017
  D7    2.001  CSF2015      0      0      0   509019.66   503609.78   501013.56             Sat Jun 24 17:43:23 2017
  D7    2.001  CSF2015      0      0      0   509019.66   503609.78   501013.56             Sat Jun 24 17:49:32 2017
  D9    2.001  CSF2015      0      0      0   502067.69   499034.81   498175.34             Sat Jun 24 17:51:09 2017
 D12    2.001  CSF2015      0      0      0   502472.69   494292.22   499684.91             Sat Jun 24 17:52:14 2017
 D16    2.007  CSF2015      0      0      0   492723.97   506167.09   480821.00             Sat Jun 24 17:53:54 2017
 D22    2.007  CSF2015      0      0      0   498269.91   502838.31   506264.84             Sat Jun 24 17:58:13 2017
 D24    2.007  CSF2015      0      0      0   493972.91   498234.09   492425.69             Sat Jun 24 18:00:08 2017
 D29    2.007  CSF2015      0      0      0   492003.53   513299.75   497981.91             Sat Jun 24 18:02:00 2017
  D3    1.000  CSF2015      0      0      0   503724.09   495518.56   497138.97             Sat Jun 24 18:04:27 2017
  D4    1.000  CSF2015      0      0      0   500204.91   495731.16   502010.94             Sat Jun 24 18:09:04 2017
  D5    1.000  CSF2015      0      0      0   506020.38   501723.50   499083.75             Sat Jun 24 18:10:18 2017
  D6    1.000  CSF2015      0      0      0   505853.44   499420.78   499921.41             Sat Jun 24 18:11:35 2017
  D7    1.000  CSF2015    231      1    193   506958.88   503411.69   499020.16             Sat Jun 24 18:13:35 2017
  D7    1.000  CSF2015    231      1    193   506958.88   503411.69   499020.16             Sat Jun 24 18:16:00 2017
  D9    1.000  CSF2015      0      0      0   501221.78   497260.44   496284.31             Sat Jun 24 18:17:43 2017
 D12    1.000  CSF2015      0      0      0   502276.00   496738.88   498854.59             Sat Jun 24 18:18:52 2017
 D16    1.000  CSF2015      0      0      0   493346.72   500545.84   497114.75             Sat Jun 24 18:20:29 2017
 D22    1.000  CSF2015      0      0      0   497963.50   500769.06   504625.81             Sat Jun 24 18:23:26 2017
 D24    1.000  CSF2015      0      0      0   493166.00   498943.69   487743.53             Sat Jun 24 18:25:37 2017
 D29    1.000  CSF2015      0      0      0   492890.88   497134.41   498516.28             Sat Jun 24 18:27:28 2017
  D3   -0.000  CSF2015      0      0      0   510545.94   495509.69   496646.12             Sat Jun 24 18:30:00 2017
  D4   -0.000  CSF2015      0      0      0   502024.56   493393.84   502810.78             Sat Jun 24 18:32:04 2017
  D5   -0.000  CSF2015    156      1    135   508136.31   501822.09   503061.22             Sat Jun 24 18:33:31 2017
  D6   -0.000  CSF2015      0      0      0   505936.94   496092.66   500800.25             Sat Jun 24 18:36:29 2017
  D7   -0.000  CSF2015      0      0      0   504148.31   502601.12   495393.06             Sat Jun 24 18:39:34 2017
  D9   -0.000  CSF2015      0      0      0   499410.91   493145.31   492401.78             Sat Jun 24 18:41:35 2017
 D12   -0.000  CSF2015      0      0      0   501676.03   498749.88   495727.78             Sat Jun 24 18:42:31 2017
 D16   -0.000  CSF2015      0      0      0   495258.94   502078.62   492373.22             Sat Jun 24 18:47:21 2017
 D22   -0.000  CSF2015      0      0      0   496135.69   498177.12   502264.66             Sat Jun 24 18:49:57 2017
 D24   -0.000  CSF2015      0      0      0   490966.47   500016.94   480402.25             Sat Jun 24 18:52:35 2017
 D29   -0.000  CSF2015      0      0      0   494685.22   499723.72   501450.69             Sat Jun 24 18:54:37 2017
  D3    2.007  CSF2015      0      0      0   500770.47   494695.97   495868.22             Sat Jun 24 21:03:04 2017
  D4    2.001  CSF2015     23      1     19   491101.56   495361.31   501609.31             Sat Jun 24 21:16:43 2017
  D5    2.001  CSF2015      0      0      0   504971.88   501369.06   497028.59             Sat Jun 24 21:18:10 2017
  D6    2.001  CSF2015      0      0      0   505679.56   501600.56   500071.72             Sat Jun 24 21:19:21 2017
  D7    2.001  CSF2015      0      0      0   509019.66   503609.78   501013.56             Sat Jun 24 21:23:42 2017
  D9    2.001  CSF2015      0      0      0   502067.69   499034.81   498175.34             Sat Jun 24 21:25:23 2017
 D12    2.001  CSF2015      0      0      0   502472.69   494292.22   499684.91             Sat Jun 24 21:26:28 2017
 D16    2.007  CSF2015      0      0      0   492723.97   506167.09   480821.00             Sat Jun 24 21:28:32 2017
 D22    2.007  CSF2015      0      0      0   498269.91   502838.31   506264.84             Sat Jun 24 21:30:25 2017
 D24    2.007  CSF2015      0      0      0   493972.91   498234.09   492425.69             Sat Jun 24 21:32:39 2017
 D29    2.007  CSF2015      0      0      0   492003.53   513299.75   497981.91             Sat Jun 24 21:34:15 2017
  D3    1.000  CSF2015      0      0      0   503724.09   495518.56   497138.97             Sat Jun 24 21:36:22 2017
  D4    1.000  CSF2015      0      0      0   500204.91   495731.16   502010.94             Sat Jun 24 21:37:43 2017
